ORFG KO
ORF3298 ko00030
ORF3330 ko00340
ORF3346 ko00270
ORF3354 ko00330
ORF3367 ko00270
ORF3372 ko00310
ORF3373 ko00471
ORF3384 ko00900
ORF3405 ko00450
ORF3405 ko00970
ORF3417 ko00240
ORF3431 ko00780
ORF3446 ko00520
ORF3446 ko00550
ORF3450 ko00130
ORF3463 ko00480
ORF3469 ko00770
ORF3470 ko00190
ORF3470 ko00195
ORF3478 ko00230
ORF3478 ko00240
ORF3478 ko00760
ORF3493 ko00760
ORF3497 ko00190
ORF3497 ko00195
ORF3501 ko00970
ORF3506 ko00970
ORF3506 ko00240
ORF3535 ko00471
ORF3536 ko00240
ORF3537 ko00052
ORF3544 ko00190
ORF3544 ko00195
ORF3545 ko00680
ORF3545 ko00030
ORF3545 ko00051
ORF3545 ko00710
ORF3545 ko00010
ORF3546 ko00030
ORF3547 ko00680
ORF3547 ko00030
ORF3547 ko00051
ORF3547 ko00710
ORF3547 ko00010
ORF3548 ko00270
ORF3548 ko00450
ORF3553 ko00240
ORF293 ko00261
ORF293 ko00300
ORF297 ko00473
ORF300 ko00970
ORF302 ko00970
ORF311 ko00730
ORF316 ko00970
ORF327 ko00240
ORF327 ko00983
ORF338 ko00400
ORF360 ko00240
ORF360 ko00983
ORF392 ko00240
ORF392 ko00983
ORF396 ko00970
ORF402 ko00670
ORF402 ko00720
ORF405;ORF2386 ko04926
ORF405;ORF2386 ko05170
ORF405;ORF2386 ko04150
ORF405;ORF2386 ko04151
ORF405;ORF2386 ko04714
ORF405;ORF2386 ko05163
ORF405;ORF2386 ko05165
ORF410 ko00550
ORF416 ko00760
ORF418 ko00650
ORF418 ko00430
ORF418 ko00620
ORF418 ko00640
ORF418 ko00680
ORF418 ko00720
ORF422 ko00640
ORF423 ko00030
ORF435 ko00550
ORF435 ko00520
ORF435 ko00471
ORF59 ko00340
ORF61 ko00680
ORF162;ORF8866 ko00250
ORF162;ORF8866 ko00330
ORF170 ko00061
ORF170 ko00780
ORF182 ko00230
ORF220 ko00900
ORF223 ko00900
ORF232 ko00970
ORF267 ko00450
ORF267 ko00970
ORF681 ko00400
ORF682 ko00400
ORF683 ko00400
ORF690 ko00910
ORF690 ko00630
ORF690 ko00220
ORF690 ko00250
ORF697 ko00770
ORF697 ko00280
ORF697 ko00290
ORF697 ko00966
ORF697 ko00270
ORF698 ko00564
ORF699 ko00400
ORF700 ko00240
ORF700 ko00250
ORF705 ko00400
ORF721 ko00730
ORF721 ko00900
ORF732 ko00760
ORF749 ko00564
ORF753 ko00561
ORF753 ko00061
ORF754 ko00061
ORF755 ko00061
ORF755 ko00780
ORF761 ko00750
ORF768 ko00300
ORF775 ko00970
ORF785 ko00240
ORF788 ko00770
ORF789 ko00410
ORF789 ko00770
ORF790 ko00410
ORF790 ko00770
ORF793 ko00240
ORF793 ko00250
ORF806 ko00770
ORF811 ko00540
ORF811 ko00400
ORF815 ko00240
ORF815 ko00250
ORF818 ko00400
ORF818 ko00405
ORF470 ko00500
ORF613 ko00860
ORF631 ko00340
ORF658 ko00290
ORF658 ko00650
ORF658 ko00660
ORF658 ko00770
ORF658 ko00620
ORF1058 ko00680
ORF1058 ko00620
ORF1058 ko00640
ORF1058 ko00650
ORF1058 ko00720
ORF1058 ko00430
ORF1059 ko00650
ORF1059 ko00430
ORF1059 ko00620
ORF1059 ko00640
ORF1059 ko00680
ORF1059 ko00720
ORF1067 ko00061
ORF1071 ko00520
ORF1106 ko00770
ORF1106 ko00473
ORF1116 ko00730
ORF1116 ko00900
ORF1123 ko00970
ORF1126 ko00900
ORF1127 ko00970
ORF1129 ko00860
ORF1129 ko00970
ORF1130 ko00970
ORF1130 ko00240
ORF1130 ko00670
ORF1135 ko00480
ORF1155 ko00785
ORF1160 ko00230
ORF1160 ko00730
ORF1170 ko00970
ORF1171 ko00260
ORF1171 ko00670
ORF1173 ko00260
ORF1174;ORF258 ko00280
ORF1174;ORF258 ko00620
ORF1174;ORF258 ko00640
ORF1174;ORF258 ko00010
ORF1174;ORF258 ko00020
ORF1174;ORF258 ko00260
ORF1174;ORF258 ko00310
ORF1174;ORF258 ko00380
ORF1024 ko00900
ORF1028 ko00010
ORF1028 ko00680
ORF1209 ko00910
ORF1209 ko00630
ORF1209 ko00220
ORF1209 ko00250
ORF1210 ko00970
ORF1286 ko00230
ORF1286 ko00240
ORF1286 ko00760
ORF1287 ko00270
ORF1302 ko00970
ORF1302 ko00760
ORF1303 ko00340
ORF1327 ko00970
ORF1348 ko00230
ORF1739 ko00790
ORF1709 ko00520
ORF1709 ko00550
ORF1720 ko00780
ORF1731 ko00760
ORF1732 ko00250
ORF1732 ko00760
ORF1740 ko00550
ORF1741 ko00670
ORF1741 ko00970
ORF1741 ko00520
ORF1742 ko00540
ORF1756 ko00270
ORF1759 ko00230
ORF1759 ko00983
ORF1762 ko00970
ORF1762 ko00240
ORF1764 ko00400
ORF1769 ko00190
ORF1769 ko00195
ORF1770 ko00190
ORF1770 ko00195
ORF1781 ko00290
ORF1781 ko00660
ORF1788 ko00290
ORF1989;ORF2235 ko00270
ORF1990 ko00230
ORF1990 ko00730
ORF1991 ko00052
ORF1991 ko00030
ORF1991 ko00051
ORF1991 ko00680
ORF1991 ko00010
ORF2001 ko00052
ORF2001 ko00030
ORF2001 ko00051
ORF2001 ko00680
ORF2001 ko00010
ORF2004 ko00970
ORF2004 ko00900
ORF2013;ORF9345 ko00670
ORF2013;ORF9345 ko00720
ORF2014;ORF2443;ORF9346;ORF1657;ORF5471 ko00340
ORF2014;ORF2443;ORF9346;ORF1657;ORF5471 ko00670
ORF2015;ORF1241 ko00860
ORF2032 ko00010
ORF2032 ko00450
ORF2032 ko00230
ORF2032 ko00620
ORF2034 ko00230
ORF2034 ko00250
ORF2044 ko00480
ORF2045 ko00230
ORF2045 ko00970
ORF2048 ko00620
ORF2055 ko00230
ORF2055 ko00983
ORF2062 ko00620
ORF2062 ko00627
ORF2063 ko00740
ORF2063 ko00970
ORF1893 ko00970
ORF1896 ko00910
ORF1913 ko00970
ORF1914 ko00730
ORF1929 ko00290
ORF1931 ko00220
ORF1947 ko00270
ORF2270 ko00010
ORF2270 ko00710
ORF2271 ko00010
ORF2271 ko00710
ORF2272 ko00710
ORF2272 ko00562
ORF2272 ko00010
ORF2272 ko00051
ORF2273 ko00010
ORF2273 ko00260
ORF2273 ko00680
ORF2275 ko00010
ORF2275 ko00680
ORF2306 ko00220
ORF2306 ko00250
ORF2307 ko00220
ORF2307 ko00250
ORF2315 ko00052
ORF2315 ko00520
ORF2317 ko00230
ORF2335 ko00250
ORF2335 ko00460
ORF2336 ko00970
ORF2345 ko00220
ORF2354 ko00983
ORF2354 ko00480
ORF2354 ko00230
ORF2354 ko00240
ORF2356 ko00740
ORF2356 ko00230
ORF2356 ko00240
ORF2356 ko00500
ORF2356 ko00760
ORF2356 ko00770
ORF2357 ko00550
ORF2359;ORF1427 ko00550
ORF2361 ko00640
ORF2365 ko00670
ORF2365 ko00720
ORF2371 ko00740
ORF2372 ko00740
ORF2372 ko00790
ORF2378 ko00520
ORF2378 ko00550
ORF2381 ko00500
ORF2385 ko04926
ORF2385 ko05170
ORF2385 ko04150
ORF2385 ko04151
ORF2385 ko04714
ORF2385 ko05163
ORF2385 ko05165
ORF2396 ko00061
ORF2397 ko00770
ORF2121 ko00680
ORF2138 ko00790
ORF2146 ko00230
ORF2168 ko00680
ORF2169 ko00680
ORF2263 ko00680
ORF2265 ko00680
ORF2266 ko00680
ORF2267 ko00680
ORF2594 ko00240
ORF2597 ko00900
ORF2599 ko00900
ORF2604 ko00970
ORF2607 ko00740
ORF2621 ko00550
ORF2621 ko00300
ORF2629 ko00670
ORF2629 ko00720
ORF2650 ko00240
ORF2650 ko00983
ORF2656 ko00730
ORF2660;ORF137 ko00670
ORF2660;ORF137 ko00460
ORF2660;ORF137 ko00630
ORF2660;ORF137 ko00680
ORF2660;ORF137 ko00260
ORF2663 ko00860
ORF2664 ko00640
ORF2664 ko00620
ORF2664 ko00010
ORF2664 ko00270
ORF2678 ko00471
ORF2678 ko00550
ORF2690 ko00970
ORF2693 ko00680
ORF2693 ko00620
ORF2693 ko00640
ORF2693 ko00720
ORF2693 ko00430
ORF2694 ko00680
ORF2694 ko00620
ORF2694 ko00640
ORF2694 ko00720
ORF2694 ko00430
ORF2697 ko00561
ORF2697 ko00564
ORF2698 ko00564
ORF2452 ko00970
ORF2498 ko00261
ORF2498 ko00300
ORF2501 ko00860
ORF2504 ko00300
ORF2504 ko00270
ORF2504 ko00220
ORF2504 ko00260
ORF2504 ko00261
ORF2555 ko00680
ORF2871 ko00520
