target_id	t2A__length	t2A__eff_length	t2A__est_counts	t2A__tpm	t2B__length	t2B__eff_length	t2B__est_counts	t2B__tpm	t2C__length	t2C__eff_length	t2C__est_counts	t2C__tpm	t4A__length	t4A__eff_length	t4A__est_counts	t4A__tpm	t4B__length	t4B__eff_length	t4B__est_counts	t4B__tpm	t4C__length	t4C__eff_length	t4C__est_counts	t4C__tpm	t6A__length	t6A__eff_length	t6A__est_counts	t6A__tpm	t6B__length	t6B__eff_length	t6B__est_counts	t6B__tpm	t6C__length	t6C__eff_length	t6C__est_counts	t6C__tpm
NODE_1000_length_967_cov_24.6169_1_884_+	879	693.07	27	4.20865	879	696.955	29	10.1454	879	721.272	58	33.5522	879	750.456	39	10.2358	879	741.909	48	11.3468	879	726.596	33	8.44996	879	688.542	50	27.8757	879	696.212	28	14.694	879	710.64	36	24.0624
NODE_1001_length_964_cov_1.13867_1_494_+	489	276.537	0	0	489	546.579	2	0.892184	489	561.518	2	1.48613	489	294.768	0	0	489	287.596	0	0	489	281.433	0	0	489	276.29	0	0	489	287.137	0	0	489	290.983	0	0
NODE_1001_length_964_cov_1.13867_556_964_+	408	201.968	0	0	408	212.641	0	0	408	217.596	0	0	408	218.603	0	0	408	212.902	0	0	408	206.848	0	0	408	202.45	0	0	408	210.827	0	0	408	214.113	0	0
NODE_1002_length_964_cov_1.73055_1_964_+	960	744.255	0	0	960	1665.16	3	0.43928	960	1668.26	1	0.250108	960	1752.54	1	0.112386	960	1750.24	1	0.100204	960	1725.39	2	0.215663	960	1609.19	3	0.715648	960	755.177	0	0	960	1726.78	1	0.275074
NODE_1003_length_963_cov_1.74718_19_963_-	942	986.809	2	0.218954	942	989.568	19	4.6815	942	999.607	9	3.75669	942	1068.63	6	1.10588	942	1040.83	6	1.01101	942	1034.34	12	2.15851	942	962.572	3	1.19639	942	1003.86	5	1.81979	942	1026.37	6	2.77672
NODE_1004_length_963_cov_96.1569_1_892_-	879	663.255	0	0	879	673.06	0	0	879	680.231	0	0	879	681.575	0	0	879	673.171	0	0	879	667.333	0	0	879	661.408	0	0	879	674.224	0	0	879	678.568	0	0
NODE_1005_length_962_cov_1.25537_29_143_+	111	6.64646	0	0	111	6.59211	0	0	111	6.83946	0	0	111	6.67618	0	0	111	6.65241	0	0	111	6.85757	0	0	111	6.69893	0	0	111	6.7209	0	0	111	6.61543	0	0
NODE_1005_length_962_cov_1.25537_383_962_+	579	364.115	0	0	579	374.411	0	0	579	381.052	0	0	579	382.432	0	0	579	374.171	0	0	579	368.463	0	0	579	363.151	0	0	579	374.952	0	0	579	379.317	0	0
NODE_1006_length_960_cov_2.39751_1_300_-	300	115.184	0	0	300	122.598	0	0	300	125.084	0	0	300	126.217	0	0	300	187.643	1	0.934654	300	117.37	0	0	300	114.079	0	0	300	118.926	0	0	300	120.834	1	3.93094
NODE_1006_length_960_cov_2.39751_408_960_-	549	334.846	0	0	549	442.25	1	0.551326	549	425.731	1	0.980069	549	352.996	0	0	549	471.297	1	0.372124	549	460.174	1	0.404307	549	423.454	2	1.81305	549	345.419	0	0	549	349.707	0	0
NODE_1007_length_957_cov_1.59545_1_957_+	951	1324.77	3	0.244645	951	1358.53	1	0.179477	951	1344.92	4	1.24095	951	753.575	0	0	951	1436.65	1	0.122077	951	1400.86	2	0.265625	951	1284.75	1	0.29879	951	1361.93	1	0.268268	951	750.568	0	0
NODE_1008_length_956_cov_1.60637_286_669_+	381	178.686	0	0	381	387.556	2	1.25827	381	387.258	1	1.07743	381	194.167	0	0	381	406.83	1	0.431092	381	183.174	0	0	381	360.266	1	1.06552	381	186.715	0	0	381	189.755	0	0
NODE_1008_length_956_cov_1.60637_675_956_+	279	100.549	0	0	279	106.813	2	4.56545	279	109.029	1	3.82693	279	109.977	2	3.58186	279	107.526	0	0	279	102.097	1	1.8223	279	98.8933	0	0	279	103.038	0	0	279	104.611	0	0
NODE_1009_length_956_cov_1.83276_1_172_-	171	35.6936	2	6.05335	171	36.5036	12	80.1534	171	37.3057	3	33.5535	171	37.4415	3	15.7816	171	37.3717	4	18.7715	171	35.8984	5	25.9137	171	33.391	4	45.9851	171	35.0071	8	83.4947	171	35.6	2	26.6849
NODE_1009_length_956_cov_1.83276_235_956_+	720	1043.32	4	0.414189	720	1044.08	14	3.26941	720	1068.59	6	2.34278	720	1109.42	2	0.355072	720	1098.16	7	1.11793	720	1073.26	4	0.69341	720	980.296	1	0.391588	720	1040.81	4	1.40415	720	1047.89	2	0.906565
NODE_100_length_21362_cov_245.16_1124_1584_-	453	242.814	0	0	453	253.633	0	0	453	259.211	0	0	453	260.427	0	0	453	254.113	0	0	453	247.84	0	0	453	242.985	0	0	453	252.599	0	0	453	256.356	0	0
NODE_100_length_21362_cov_245.16_12044_14862_+	2814	2598.26	0	0	2814	2608.06	0	0	2814	2615.23	0	0	2814	2616.58	0	0	2814	2608.17	0	0	2814	2602.3	0	0	2814	2596.41	0	0	2814	2609.18	0	0	2814	2613.57	0	0
NODE_100_length_21362_cov_245.16_14869_15759_+	888	672.255	0	0	888	682.06	0	0	888	689.231	0	0	888	690.575	0	0	888	682.171	0	0	888	676.333	0	0	888	670.408	0	0	888	683.224	0	0	888	687.568	0	0
NODE_100_length_21362_cov_245.16_15763_21362_+	5589	5373.26	0	0	5589	5383.06	0	0	5589	5390.23	0	0	5589	5391.58	0	0	5589	5383.17	0	0	5589	5377.3	0	0	5589	5371.41	0	0	5589	5384.18	0	0	5589	5388.57	0	0
