"ORF","Kcode","ORF_alias","contig","Bin"
"ORF4","K00983","ORF4","NODE_1002_length_964_cov_1.73055","Unbinned"
"ORF4","KO00480","ORF4","NODE_1002_length_964_cov_1.73055","Unbinned"
"ORF4","KO00230","ORF4","NODE_1002_length_964_cov_1.73055","Unbinned"
"ORF4","KO00240","ORF4","NODE_1002_length_964_cov_1.73055","Unbinned"
"ORF12","K00240","ORF12","NODE_1008_length_956_cov_1.60637","Unbinned"
"ORF13","K00240","ORF13","NODE_1008_length_956_cov_1.60637","Unbinned"
"ORF15","K00680","ORF15","NODE_1009_length_956_cov_1.83276","Unbinned"
"ORF17","K00790","ORF17","NODE_100_length_21362_cov_245.16","Bin7"
"ORF19","K00680","ORF19","NODE_100_length_21362_cov_245.16","Bin7"
"ORF22","K00790","ORF22","NODE_100_length_21362_cov_245.16","Bin7"
"ORF25","K00790","ORF25","NODE_100_length_21362_cov_245.16","Bin7"
"ORF25","KO00680","ORF25","NODE_100_length_21362_cov_245.16","Bin7"
"ORF44","K00730","ORF44","NODE_101_length_21264_cov_87.399","Unbinned"
"ORF45","K00730","ORF45","NODE_101_length_21264_cov_87.399","Unbinned"
"ORF46","K00230","ORF46","NODE_101_length_21264_cov_87.399","Unbinned"
"ORF46","KO00240","ORF46","NODE_101_length_21264_cov_87.399","Unbinned"
"ORF59","K00340","ORF59","NODE_1021_length_928_cov_1.57344","Unbinned"
"ORF61","K00680","ORF61","NODE_1023_length_924_cov_1.52302","Unbinned"
"ORF137","K00670","ORF137","NODE_104_length_20247_cov_279.004","Bin7"
"ORF137","KO00460","ORF137","NODE_104_length_20247_cov_279.004","Bin7"
"ORF137","KO00630","ORF137","NODE_104_length_20247_cov_279.004","Bin7"
"ORF137","KO00680","ORF137","NODE_104_length_20247_cov_279.004","Bin7"
"ORF137","KO00260","ORF137","NODE_104_length_20247_cov_279.004","Bin7"
"ORF138","K00240","ORF138","NODE_104_length_20247_cov_279.004","Bin7"
"ORF138","KO00250","ORF138","NODE_104_length_20247_cov_279.004","Bin7"
"ORF142","K00790","ORF142","NODE_104_length_20247_cov_279.004","Bin7"
"ORF145","K00970","ORF145","NODE_104_length_20247_cov_279.004","Bin7"
"ORF146","K00260","ORF146","NODE_1050_length_868_cov_1.04551","Unbinned"
"ORF146","KO00400","ORF146","NODE_1050_length_868_cov_1.04551","Unbinned"
"ORF152","K00520","ORF152","NODE_1054_length_856_cov_65.8716","Unbinned"
"ORF162","K00250","ORF162","NODE_105_length_19900_cov_1343.75","Bin2"
"ORF162","KO00330","ORF162","NODE_105_length_19900_cov_1343.75","Bin2"
"ORF170","K00061","ORF170","NODE_105_length_19900_cov_1343.75","Bin2"
"ORF170","KO00780","ORF170","NODE_105_length_19900_cov_1343.75","Bin2"
"ORF182","K00230","ORF182","NODE_1067_length_834_cov_1.679","Unbinned"
"ORF183","K00230","ORF183","NODE_1067_length_834_cov_1.679","Unbinned"
"ORF186","K00290","ORF186","NODE_1069_length_833_cov_1.73545","Unbinned"
"ORF186","KO00620","ORF186","NODE_1069_length_833_cov_1.73545","Unbinned"
"ORF209","K00680","ORF209","NODE_1073_length_827_cov_1.608","Unbinned"
"ORF220","K00900","ORF220","NODE_107_length_19728_cov_1448.47","Bin1"
"ORF223","K00900","ORF223","NODE_107_length_19728_cov_1448.47","Bin1"
"ORF230","K00040","ORF230","NODE_107_length_19728_cov_1448.47","Bin1"
"ORF232","K00970","ORF232","NODE_107_length_19728_cov_1448.47","Bin1"
"ORF234","K00860","ORF234","NODE_1080_length_811_cov_0.753406","Unbinned"
"ORF234","KO00970","ORF234","NODE_1080_length_811_cov_0.753406","Unbinned"
"ORF242","K00240","ORF242","NODE_1087_length_801_cov_1.90884","Unbinned"
"ORF248","K00760","ORF248","NODE_108_length_18427_cov_263.854","Bin7"
"ORF250","K00785","ORF250","NODE_108_length_18427_cov_263.854","Bin7"
"ORF251","K00680","ORF251","NODE_108_length_18427_cov_263.854","Bin7"
"ORF252","K00680","ORF252","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","K00280","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
"ORF258","KO00620","ORF258","NODE_108_length_18427_cov_263.854","Bin7"
