ORFG CAZy
ORF103 CBM6
ORF103 CE4
ORF103 GH11
ORF410 GT51
ORF435 GT28
ORF470 GT35
ORF514 GH109
ORF517 GT4
ORF519 GT2_Glycos_transf_2
ORF584 cohesin
ORF612 CE10
ORF684 AA6
ORF723 GH9
ORF726 CBM32
ORF726 GH5_55
ORF774 CBM25
ORF780 CBM22
ORF780 CE1
ORF780 GH10
ORF807 GH23
ORF1017 CE3
ORF1113 GT26
ORF1506 GT4
ORF1719 GT2_Glycos_transf_2
ORF1719 GT4
ORF1741 CE14
ORF2303 CE4
ORF2381 GH133
ORF2621 GT28
ORF2946 GH51
ORF2974 CBM22
ORF2974 GH10
ORF3450 AA6
ORF3751 CE1
ORF3795 GH23
ORF4236 CE4
ORF4250 GH13_3
ORF4260 GT51
ORF4446 GH10
ORF4474 GH48
ORF4857 GH13_39
ORF5009 GH15
ORF5031 GT51
ORF5114 GH18
ORF5392 cohesin
ORF5406 GH124
ORF5407 GH9
ORF5423 CBM4
ORF5423 GH9
ORF5745 GT5
ORF5752 GH94
ORF5754 GH9
ORF5758 CBM3
ORF5759 GH18
ORF5760 GH8
ORF5783 CBM35
ORF5783 PL11
ORF5849 SLH
ORF5851 GH130
ORF5876 GT4
ORF5893 CBM25
ORF5906 GT28
ORF6046 CBM6
ORF6046 CBM62
ORF6046 GH5_34
ORF6049 CBM48
ORF6049 GH13_9
ORF6051 CE9
ORF6062 CBM35
ORF6062 PL1_5
ORF6062 PL9_1
ORF6100 CBM16
ORF6101 GH5_1
ORF6290 GT5
ORF6298 GT4
ORF6300 CBM42
ORF6313 CBM3
ORF6313 CBM4
ORF6313 GH3
ORF6328 GT2_Glycos_transf_2
ORF6374 CE14
ORF6379 GT35
ORF6390 CE9
ORF6404 GT5
ORF6407 GH57
ORF6408 GH57
ORF6586 GT1
ORF6621 CBM13
ORF6621 GH43_24
ORF6647 PL29
ORF6661 CBM3
ORF6661 GH9
ORF6663 CBM30
ORF6663 GH9
ORF6663 CBM44
ORF6663 GH44
ORF6682 CBM3
ORF6682 GH9
ORF6706 CBM3
ORF6706 GH9
ORF6734 cohesin
ORF6735 cohesin
ORF7015 GH109
ORF7042 GT2_Glycos_transf_2
ORF7168 CBM4
ORF7168 SLH
ORF7168 CBM54
ORF7168 GH16
ORF7170 GH5_37
ORF7194 GH9
ORF7203 GH26
ORF7329 GH94
ORF7329 GT84
ORF7345 GT83
ORF7663 GT4
ORF7720 GH109
ORF7832 CBM6
ORF7832 CE1
ORF7832 GH10
ORF7926 CBM6
ORF7926 GH30_8
ORF7968 CBM6
ORF8150 GT4
ORF8159 GT4
ORF8214 CBM22
ORF8214 GH10
ORF8315 CBM3
ORF8319 CBM4
ORF8345 GH5_1
ORF8378 SLH
ORF8387 GT4
ORF8389 GT2_Glycos_transf_2
ORF8390 GT2_Glycos_transf_2
ORF8393 GT2_Glycos_transf_2
ORF8416 GH5
ORF8444 cohesin
ORF8511 GH53
ORF8513 GH74
ORF8514 GT8
ORF8706 GT26
ORF8722 GT81
ORF8806 GH23
ORF9001 CBM35
ORF9001 GH26
ORF9014 CBM3
ORF9014 GH9
ORF9017 CBM3
ORF9017 GH9
ORF9163 GH3
ORF9264 CBM3
ORF9264 GH9
ORF9282 GH5_1
ORF9334 GH94
ORF9374 GH5_1
ORF9379 GH18
ORF9514 GT2_Glycos_transf_2
ORF9516 GH16
ORF9519 GH1
ORF9660 CBM34
ORF9660 GH5_4
ORF9660 CE2
ORF9660 GH13_20
ORF9809 GT4
ORF9909 CBM16
ORF9909 GT2_Glycos_transf_2
ORF9909 GT39
ORF9913 GT2_Glycos_transf_2
ORF9918 cohesin
ORF9929 cohesin
ORF9953 GT4
ORF9969 GT4
ORF9970 GT4
ORF9971 GT2_Glycos_transf_2
ORF10777 GT28
