Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy
NODE_1000_length_967_cov_24.6169_1_884_+	PF00984;PF03720;PF03721	UDP-glucose/GDP-mannose dehydrogenase family, central domain;UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain;UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain			IPR014026;IPR017476;IPR014027;IPR001732	UDP-glucose/GDP-mannose dehydrogenase, dimerisation;UDP-glucose/GDP-mannose dehydrogenase;UDP-glucose/GDP-mannose dehydrogenase, C-terminal;UDP-glucose/GDP-mannose dehydrogenase, N-terminal	GO:0016616;GO:0051287;GO:0055114			TIGR03026	NDP-sugDHase: nucleotide sugar dehydrogenase			
NODE_1001_length_964_cov_1.13867_1_494_+	PF13654	AAA domain			IPR041699	Lon protease, AAA domain								
NODE_1002_length_964_cov_1.73055_1_964_+	PF00317;PF02867	Ribonucleotide reductase, all-alpha domain;Ribonucleotide reductase, barrel domain			IPR013509;IPR000788	Ribonucleotide reductase large subunit, N-terminal;Ribonucleotide reductase large subunit, C-terminal	GO:0055114;GO:0006260;GO:0004748;GO:0005524	ko00983;ko00480;ko00230;ko00240	1.17.4.1					
NODE_1003_length_963_cov_1.74718_19_963_-	PF00482	Type II secretion system (T2SS), protein F			IPR018076	Type II secretion system F domain								
NODE_1005_length_962_cov_1.25537_383_962_+	PF02743	Cache domain			IPR033479	Double Cache domain 1								
NODE_1006_length_960_cov_2.39751_1_300_-	PF13489	Methyltransferase domain												
NODE_1006_length_960_cov_2.39751_408_960_-	PF04402	Protein of unknown function (DUF541)			IPR007497	Protein of unknown function DUF541								
NODE_1007_length_957_cov_1.59545_1_957_+	PF01812;PF06271	5-formyltetrahydrofolate cyclo-ligase family;RDD family			IPR002698;IPR010432	5-formyltetrahydrofolate cyclo-ligase;RDD								
NODE_1008_length_956_cov_1.60637_286_669_+	PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family			IPR001754;IPR014732	Orotidine 5'-phosphate decarboxylase domain;Orotidine 5'-phosphate decarboxylase	GO:0004590;GO:0006207;GO:0044205	ko00240	4.1.1.23	TIGR01740	pyrF: orotidine 5'-phosphate decarboxylase			
NODE_1008_length_956_cov_1.60637_675_956_+	PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family			IPR001754	Orotidine 5'-phosphate decarboxylase domain	GO:0004590;GO:0006207	ko00240	4.1.1.23					
NODE_1009_length_956_cov_1.83276_235_956_+	PF01996	F420-0:Gamma-glutamyl ligase			IPR002847	Coenzyme F420:L-glutamate ligase-like domain		ko00680	6.3.2.31;6.3.2.34					
NODE_100_length_21362_cov_245.16_12044_14862_+	PF04289;PF08544	Protein of unknown function (DUF447);GHMP kinases C terminal			IPR007386;IPR013750;IPR004422	Protein of unknown function DUF447;GHMP kinase, C-terminal domain;Beta-ribofuranosylaminobenzene 5'-phosphate synthase		ko00790	2.4.2.54	TIGR00144	beta_RFAP_syn: beta-ribofuranosylaminobenzene 5'-phosphate synthase family			
NODE_100_length_21362_cov_245.16_14869_15759_+	PF01913;PF02741	Formylmethanofuran-tetrahydromethanopterin formyltransferase;FTR, proximal lobe			IPR014053;IPR022667;IPR002770	Formylmethanofuran: tetrahydromethanopterin formyltransferase Ftr;Formylmethanofuran: tetrahydromethanopterin formyltransferase Ftr, N-terminal;Formylmethanofuran: tetrahydromethanopterin formyltransferase Ftr, C-terminal	GO:0006730;GO:0030270;GO:0016740			TIGR03119	one_C_fhcD: formylmethanofuran--tetrahydromethanopterin N-formyltransferase	MF_00579	Formylmethanofuran--tetrahydromethanopterin formyltransferase [ftr].	
