ORFG KO
ORF162 ko00250
ORF162 ko00330
ORF220 ko00900
ORF223 ko00900
ORF232 ko00970
ORF293 ko00261
ORF293 ko00300
ORF297 ko00473
ORF300 ko00970
ORF311 ko00730
ORF316 ko00970
ORF317 ko00970
ORF327 ko00240
ORF327 ko00983
ORF339 ko00400
ORF360 ko00240
ORF360 ko00983
ORF391 ko00561
ORF391 ko00564
ORF391 ko04070
ORF392 ko00240
ORF392 ko00983
ORF396 ko00970
ORF402 ko00670
ORF402 ko00720
ORF410 ko00550
ORF416 ko00760
ORF418 ko00650
ORF418 ko00430
ORF418 ko00620
ORF418 ko00640
ORF418 ko00680
ORF418 ko00720
ORF421 ko00400
ORF422 ko00640
ORF423 ko00030
ORF428 ko00970
ORF434 ko00550
ORF435 ko00550
ORF435 ko00520
ORF435 ko00471
ORF470 ko00500
ORF613 ko00860
ORF681 ko00400
ORF682 ko00400
ORF683 ko00400
ORF690 ko00910
ORF690 ko00630
ORF690 ko00220
ORF690 ko00250
ORF697 ko00770
ORF697 ko00280
ORF697 ko00290
ORF697 ko00966
ORF697 ko00270
ORF698 ko00564
ORF699 ko00400
ORF700 ko00240
ORF700 ko00250
ORF705 ko00400
ORF721 ko00730
ORF721 ko00900
ORF723 ko00500
ORF732 ko00760
ORF749 ko00564
ORF753 ko00561
ORF753 ko00061
ORF754 ko00061
ORF755 ko00061
ORF755 ko00780
ORF761 ko00750
ORF768 ko00300
ORF775 ko00970
ORF785 ko00240
ORF788 ko00770
ORF789 ko00410
ORF789 ko00770
ORF790 ko00410
ORF790 ko00770
ORF793 ko00240
ORF793 ko00250
ORF806 ko00770
ORF811 ko00540
ORF811 ko00400
ORF815 ko00240
ORF815 ko00250
ORF818 ko00400
ORF818 ko00405
ORF1058 ko00680
ORF1058 ko00620
ORF1058 ko00640
ORF1058 ko00650
ORF1058 ko00720
ORF1058 ko00430
ORF1059 ko00650
ORF1059 ko00430
ORF1059 ko00620
ORF1059 ko00640
ORF1059 ko00680
ORF1059 ko00720
ORF1066 ko00061
ORF1066 ko00780
ORF1071 ko00520
ORF1098 ko00473
ORF1098 ko00550
ORF1106 ko00770
ORF1106 ko00473
ORF1116 ko00730
ORF1116 ko00900
ORF1123 ko00970
ORF1126 ko00900
ORF1127 ko00970
ORF1129 ko00860
ORF1129 ko00970
ORF1130 ko00970
ORF1130 ko00240
ORF1130 ko00670
ORF1135 ko00480
ORF1160 ko00230
ORF1160 ko00730
ORF1171 ko00260
ORF1171 ko00670
ORF1174 ko00280
ORF1174 ko00620
ORF1174 ko00640
ORF1174 ko00010
ORF1174 ko00020
ORF1174 ko00260
ORF1174 ko00310
ORF1174 ko00380
ORF1286 ko00230
ORF1286 ko00240
ORF1286 ko00760
ORF1287 ko00270
ORF1577 ko00760
ORF1697 ko00550
ORF1709 ko00520
ORF1709 ko00550
ORF1720 ko00780
ORF1731 ko00760
ORF1732 ko00250
ORF1732 ko00760
ORF1739 ko00790
ORF1741 ko00670
ORF1741 ko00970
ORF1741 ko00520
ORF1742 ko00540
ORF1756 ko00270
ORF1759 ko00230
ORF1759 ko00983
ORF1762 ko00970
ORF1762 ko00240
ORF1764 ko00400
ORF1781 ko00290
ORF1781 ko00660
ORF1788 ko00290
ORF1989 ko00270
ORF1990 ko00230
ORF1990 ko00730
ORF1991 ko00052
ORF1991 ko00030
ORF1991 ko00051
ORF1991 ko00680
ORF1991 ko00010
ORF2001 ko00052
ORF2001 ko00030
ORF2001 ko00051
ORF2001 ko00680
ORF2001 ko00010
ORF2004 ko00970
ORF2004 ko00900
ORF2013 ko00670
ORF2013 ko00720
ORF2015 ko00860
ORF2032 ko00010
ORF2032 ko00450
ORF2032 ko00230
ORF2032 ko00620
ORF2034 ko00230
ORF2034 ko00250
ORF2044 ko00480
ORF2045 ko00230
ORF2045 ko00970
ORF2048 ko00620
ORF2055 ko00230
ORF2055 ko00983
ORF2062 ko00620
ORF2062 ko00627
ORF2063 ko00740
ORF2063 ko00970
ORF2270 ko00010
ORF2270 ko00710
ORF2271 ko00010
ORF2271 ko00710
ORF2272 ko00710
ORF2272 ko00562
ORF2272 ko00010
ORF2272 ko00051
ORF2273 ko00010
ORF2273 ko00260
ORF2273 ko00680
ORF2275 ko00010
ORF2275 ko00680
ORF2315 ko00052
ORF2315 ko00520
ORF2317 ko00230
ORF2335 ko00250
ORF2335 ko00460
ORF2336 ko00970
ORF2345 ko00220
ORF2349 ko04658
ORF2349 ko04660
ORF2349 ko05235
ORF2354 ko00983
ORF2354 ko00480
ORF2354 ko00230
ORF2354 ko00240
ORF2356 ko00740
ORF2356 ko00230
ORF2356 ko00240
ORF2356 ko00500
ORF2356 ko00760
ORF2356 ko00770
ORF2357 ko00550
ORF2361 ko00640
ORF2365 ko00670
ORF2365 ko00720
ORF2371 ko00740
ORF2372 ko00740
ORF2372 ko00790
ORF2378 ko00520
ORF2378 ko00550
ORF2381 ko00500
ORF2394 ko00061
ORF2396 ko00061
ORF2452 ko00970
ORF2498 ko00261
ORF2498 ko00300
ORF2501 ko00860
ORF2504 ko00300
ORF2504 ko00270
ORF2504 ko00220
ORF2504 ko00260
ORF2504 ko00261
ORF2594 ko00240
ORF2597 ko00900
ORF2599 ko00900
ORF2604 ko00970
ORF2607 ko00740
ORF2614 ko00550
ORF2621 ko00550
ORF2621 ko00300
ORF2629 ko00670
ORF2629 ko00720
ORF2650 ko00240
ORF2650 ko00983
ORF2656 ko00730
ORF2660 ko00670
ORF2660 ko00460
ORF2660 ko00630
ORF2660 ko00680
ORF2660 ko00260
ORF2663 ko00860
ORF2664 ko00640
ORF2664 ko00620
ORF2664 ko00010
ORF2664 ko00270
ORF2678 ko00471
ORF2678 ko00550
ORF2690 ko00970
ORF2693 ko00680
ORF2693 ko00620
ORF2693 ko00640
ORF2693 ko00720
ORF2693 ko00430
ORF2694 ko00680
ORF2694 ko00620
ORF2694 ko00640
ORF2694 ko00720
ORF2694 ko00430
ORF2697 ko00561
ORF2697 ko00564
ORF2698 ko00564
ORF2761 ko00680
ORF2835 ko00680
ORF2871 ko00520
ORF2871 ko00550
ORF2882 ko00061
ORF2882 ko00780
ORF2883 ko00471
ORF2883 ko00550
ORF2888 ko00520
ORF2889 ko00030
ORF2889 ko00230
ORF2892 ko00290
ORF2892 ko00770
ORF2898 ko00290
ORF2898 ko00620
ORF2898 ko00660
ORF2927 ko00860
ORF2929 ko00860
ORF2933 ko00920
ORF2935 ko00920
ORF2935 ko00450
ORF2935 ko00230
ORF2935 ko00261
ORF2937 ko00920
ORF2946 ko00520
ORF2966 ko00790
ORF2967 ko00790
ORF2969 ko00780
ORF2969 ko00785
ORF2971 ko00770
ORF2984 ko00052
ORF2985 ko00240
ORF2985 ko00550
ORF2992 ko00190
ORF2992 ko00195
ORF2994 ko00190
ORF2994 ko00195
ORF3003 ko00770
ORF3003 ko00660
ORF3003 ko00290
ORF3003 ko00650
ORF3185 ko00520
ORF3187 ko00640
ORF3189 ko00780
ORF3200 ko00480
ORF3201 ko00270
ORF3210 ko00561
ORF3221 ko00061
ORF3221 ko00780
ORF3223 ko00680
ORF3223 ko00030
ORF3223 ko00051
ORF3223 ko00710
ORF3223 ko00010
ORF3227 ko00564
ORF3229 ko00340
ORF3235 ko00450
ORF3235 ko00970
ORF3237 ko00450
ORF3237 ko00561
ORF3238 ko00061
ORF3240 ko00450
ORF3241 ko00051
ORF3242 ko00051
ORF3245 ko00710
ORF3245 ko00620
ORF3245 ko00010
ORF3245 ko00020
ORF3259 ko00230
ORF3262 ko00230
ORF3262 ko00250
ORF3265 ko00230
ORF3270 ko00750
ORF3298 ko00030
ORF3323 ko00400
ORF3354 ko00330
ORF3367 ko00270
ORF3372 ko00310
ORF3373 ko00471
ORF3394 ko00230
ORF3405 ko00450
ORF3405 ko00970
ORF3417 ko00240
ORF3446 ko00520
ORF3446 ko00550
ORF3450 ko00130
ORF3463 ko00480
ORF3469 ko00770
ORF3470 ko00190
ORF3470 ko00195
ORF3478 ko00230
ORF3478 ko00240
ORF3478 ko00760
ORF3493 ko00760
ORF3501 ko00970
ORF3506 ko00970
ORF3506 ko00240
ORF3535 ko00471
ORF3536 ko00240
ORF3537 ko00052
ORF3544 ko00190
ORF3544 ko00195
ORF3545 ko00680
ORF3545 ko00030
ORF3545 ko00051
ORF3545 ko00710
ORF3545 ko00010
ORF3546 ko00030
ORF3547 ko00680
ORF3547 ko00030
ORF3547 ko00051
ORF3547 ko00710
ORF3547 ko00010
ORF3548 ko00270
ORF3548 ko00450
ORF3553 ko00240
ORF3753 ko00983
ORF3753 ko00480
ORF3753 ko00230
ORF3753 ko00240
ORF3758 ko00561
ORF3760 ko00680
ORF3760 ko00620
ORF3760 ko00640
ORF3760 ko00770
ORF3760 ko00720
ORF3760 ko00430
ORF3762 ko00620
ORF3762 ko00710
ORF3762 ko00720
ORF3763 ko00030
ORF3763 ko00564
ORF3763 ko04070
ORF3763 ko00970
ORF3763 ko00561
ORF3768 ko00340
ORF3768 ko00670
ORF3769 ko00471
ORF3779 ko00240
ORF3779 ko00525
ORF3779 ko00521
ORF3779 ko00523
ORF3786 ko00770
ORF3787 ko00410
ORF3787 ko00770
ORF3788 ko00970
ORF3795 ko00970
ORF3796 ko00564
ORF3797 ko00620
ORF3798 ko00790
ORF3799 ko00790
ORF3800 ko00190
ORF3800 ko00195
ORF3800 ko00790
ORF3802 ko00230
ORF3802 ko00240
ORF3802 ko00760
ORF3811 ko00561
ORF3811 ko00564
ORF3813 ko00760
ORF3818 ko00550
ORF3822 ko00230
ORF3822 ko00970
ORF3888 ko00473
ORF3888 ko00550
ORF4205 ko00473
ORF4207 ko00240
ORF4207 ko00983
ORF4209 ko00790
ORF4210 ko00620
ORF4210 ko00627
ORF4214 ko00195
ORF4223 ko00770
ORF4224 ko00970
ORF4228 ko00730
ORF4230 ko00550
ORF4253 ko00230
ORF4253 ko00770
ORF4255 ko00280
ORF4255 ko00620
ORF4255 ko00640
ORF4255 ko00010
ORF4255 ko00020
ORF4255 ko00260
ORF4255 ko00310
ORF4255 ko00380
ORF4258 ko00970
ORF4259 ko00790
ORF4260 ko00550
ORF4361 ko00240
ORF4455 ko00240
ORF4465 ko00450
ORF4465 ko00970
ORF4502 ko00970
ORF4502 ko00998
ORF4502 ko00270
ORF4502 ko00920
ORF4713 ko00260
ORF4858 ko00480
ORF4931 ko00561
ORF4931 ko00564
ORF5002 ko00400
ORF5002 ko00540
ORF5027 ko00330
ORF5027 ko00332
ORF5031 ko00550
ORF5133 ko00970
ORF5134 ko00970
ORF5140 ko00670
ORF5140 ko00460
ORF5140 ko00630
ORF5140 ko00680
ORF5140 ko00260
ORF5141 ko00564
ORF5141 ko00561
ORF5147 ko00473
ORF5148 ko00540
ORF5148 ko00400
ORF5152 ko00240
ORF5156 ko00230
ORF5158 ko00770
ORF5160 ko00670
ORF5160 ko00970
ORF5164 ko00030
ORF5164 ko00730
ORF5164 ko00040
ORF5164 ko00710
ORF5170 ko00770
ORF5176 ko00680
ORF5176 ko00620
ORF5176 ko00640
ORF5176 ko00720
ORF5176 ko00430
ORF5179 ko00561
ORF5353 ko00500
ORF5362 ko00620
ORF5369 ko00620
ORF5376 ko00190
ORF5376 ko00195
ORF5385 ko00620
ORF5385 ko00640
ORF5385 ko00650
ORF5399 ko00520
ORF5399 ko00550
ORF5407 ko00500
ORF5412 ko04658
ORF5412 ko04660
ORF5412 ko05235
ORF5423 ko00500
ORF5742 ko00020
ORF5742 ko00480
ORF5742 ko00720
ORF5745 ko00500
ORF5754 ko00500
ORF5756 ko00260
ORF5756 ko00270
ORF5756 ko00300
ORF5757 ko00550
ORF5770 ko00330
ORF5770 ko00332
ORF5778 ko00860
ORF5880 ko00860
ORF5888 ko00290
ORF5898 ko00500
ORF5898 ko00520
ORF5964 ko00400
ORF5979 ko00900
ORF5981 ko00240
ORF5999 ko00190
ORF5999 ko00195
ORF6035 ko00680
ORF6049 ko00500
ORF6051 ko00052
ORF6051 ko00520
ORF6056 ko00520
ORF6056 ko00052
ORF6056 ko00500
ORF6056 ko00561
ORF6056 ko00040
ORF6070 ko00190
ORF6070 ko00195
ORF6079 ko04658
ORF6079 ko04660
ORF6079 ko05235
ORF6191 ko00270
ORF6191 ko00450
ORF6284 ko00010
ORF6284 ko00260
ORF6284 ko00680
ORF6290 ko00500
ORF6299 ko00770
ORF6305 ko00520
ORF6310 ko00052
ORF6310 ko00030
ORF6310 ko00051
ORF6310 ko00680
ORF6310 ko00010
ORF6324 ko00230
ORF6324 ko00250
ORF6325 ko00230
ORF6325 ko00670
ORF6325 ko00970
ORF6326 ko00230
ORF6326 ko00670
ORF6327 ko00230
ORF6331 ko00760
ORF6335 ko00970
ORF6338 ko00860
ORF6379 ko00500
ORF6390 ko00052
ORF6390 ko00520
ORF6402 ko00240
ORF6403 ko00680
